,open,high,low,close,rsi,macd,macd_signal,bb_high,bb_low,atr
2025-02-27,1.04834,1.04924,1.03965,1.03973,,,,,,0.0
2025-02-28,1.03966,1.042,1.03596,1.03747,,,,,,0.0
2025-03-03,1.04027,1.05036,1.03883,1.04857,,,,,,0.0
2025-03-04,1.04849,1.06275,1.04708,1.06253,,,,,,0.0
2025-03-05,1.06249,1.07968,1.06017,1.07875,,,,,,0.0
2025-03-06,1.07864,1.08537,1.07655,1.07818,,,,,,0.0
2025-03-07,1.0782,1.08888,1.07768,1.083,,,,,,0.0
2025-03-10,1.08392,1.08747,1.08048,1.0834,,,,,,0.0
2025-03-11,1.08345,1.09472,1.08305,1.0911,,,,,,0.0
2025-03-12,1.09111,1.09314,1.08754,1.08857,,,,,,0.0
2025-03-13,1.08856,1.08972,1.08222,1.0851,,,,,,0.0
2025-03-14,1.08515,1.09127,1.08304,1.08765,,,,,,0.0
2025-03-17,1.088,1.09297,1.0868,1.09212,,,,,,0.0
2025-03-18,1.09214,1.09547,1.08921,1.09442,86.23505607316919,,,,,0.00972428571428571
2025-03-19,1.09436,1.0946,1.08603,1.09033,78.20294898611724,,,,,0.00964183673469387
2025-03-20,1.09045,1.09173,1.08143,1.08539,69.7522577577656,,,,,0.009688848396501467
2025-03-21,1.08535,1.08613,1.07962,1.08121,63.49947612551297,,,,,0.009461787796751362
2025-03-24,1.08168,1.08582,1.07813,1.07995,61.70388902642866,,,,,0.009335231525554833
2025-03-25,1.07991,1.08301,1.07765,1.07908,60.433182700908645,,,,,0.009051286416586634
2025-03-26,1.07921,1.0803,1.07342,1.07362,53.0495149618204,,,1.1098254762622948,1.0441915237377053,0.008896194529687589
2025-03-27,1.07365,1.08212,1.07327,1.07974,59.08391640557024,,,1.1070179420721316,1.0510000579278687,0.008892894920424192
2025-03-28,1.07971,1.08448,1.07644,1.08237,61.38103668816673,,,1.1017845210844737,1.0607234789155262,0.00883197385467961
2025-03-31,1.08144,1.08494,1.07837,1.08184,60.64216473823274,,,1.096947941012314,1.068887058987686,0.008670404293631064
2025-04-01,1.08181,1.08301,1.07779,1.07929,57.08189936626868,,,1.0944112974361386,1.0730997025638611,0.008423946844085987
2025-04-02,1.07929,1.09243,1.078,1.08264,60.37332899039876,,,1.0943726944692829,1.073527305530717,0.008852950640936984
2025-04-03,1.08262,1.11466,1.08046,1.10505,74.47543891288555,0.007541376116679599,,1.0988506387468011,1.0717363612531987,0.010663454166584343
2025-04-04,1.10509,1.11076,1.09242,1.09573,64.23686269768876,0.007878203147799523,,1.100174562471344,1.0716854375286562,0.011211778868971177
2025-04-07,1.09148,1.105,1.09007,1.09112,59.85370372747587,0.007684569589300638,,1.1006832758726217,1.0719487241273784,0.011477366092616084
2025-04-08,1.09112,1.09918,1.08881,1.09565,62.55735910207087,0.007806656464102835,,1.101344140898286,1.0717428591017137,0.011398268514572077
2025-04-09,1.09564,1.10952,1.0913,1.09503,61.94250400734032,0.007763885138502236,,1.1021054123955751,1.0716275876044248,0.01188553504924551
2025-04-10,1.09497,1.12414,1.09426,1.11888,72.9545849958274,0.009544461619715339,,1.1091749640812998,1.0679360359187002,0.013170853974299396
2025-04-11,1.11918,1.14736,1.11918,1.13586,77.86522672700856,0.012185261294515248,,1.1201087420810056,1.0618232579189946,0.014264364404706572
2025-04-14,1.13177,1.14246,1.12956,1.13522,77.29555314352665,0.014064346381101656,,1.1280801229295014,1.0581618770704986,0.014166909804370397
2025-04-15,1.13531,1.13789,1.12638,1.12812,71.0824577417244,0.01480990482351463,0.010895538722121097,1.1329561231452796,1.0566558768547203,0.013977130532629663
2025-04-16,1.12806,1.14127,1.12805,1.1397,74.66007395400976,0.01614901864792917,0.011946234707282712,1.1400546970425567,1.0544943029574432,0.013923049780298973
2025-04-17,1.13965,1.14091,1.13349,1.13668,72.15298501523297,0.016773235819217636,0.012911634929669697,1.1455133805212505,1.0541646194787495,0.01345854622456333
2025-04-18,1.1367,1.1398,1.13576,1.13913,72.94666594435313,0.017266588465449928,0.013782625636825745,1.1506093185852286,1.0548606814147714,0.012785792922808794
2025-04-21,1.14072,1.15733,1.139,1.15085,76.41032728776985,0.018391276852492755,0.014704355879959146,1.1572786439035387,1.0552813560964611,0.013181807714036734
2025-04-22,1.15085,1.15473,1.13613,1.13623,65.1967315360437,0.017896587960831267,0.015342802296133572,1.1601240958365526,1.0581509041634476,0.013568821448748393
2025-04-23,1.13651,1.144,1.13072,1.13236,62.578741804884395,0.016996343524790847,0.015673510541865027,1.161274981898046,1.0628740181019538,0.013548191345266362
2025-04-24,1.13223,1.1398,1.13194,1.13857,65.00696730583402,0.016592717900829612,0.015857352013657944,1.1631551322730265,1.0668768677269735,0.01314189196346162
2025-04-25,1.13849,1.13912,1.13155,1.1364,63.45741645106744,0.01591429078347195,0.015868739767620745,1.1642630312033277,1.0711719687966725,0.012743899680357208
2025-04-28,1.13601,1.1425,1.1329,1.14198,65.72020167800403,0.015646528332169174,0.015824297480530432,1.1653407869252914,1.0761082130747088,0.012519335417474553
2025-04-29,1.14202,1.1422,1.13698,1.13846,63.06718089299963,0.014977637199869998,0.015654965424398346,1.164611574419346,1.0827544255806545,0.01199795431622637
2025-04-30,1.13861,1.13994,1.13168,1.13253,58.76344394385017,0.013809843438668423,0.015285941027252363,1.1626330399767981,1.089721960023202,0.011730957579353052
2025-05-01,1.13253,1.13411,1.12655,1.12857,56.01448759442111,0.012421630737571299,0.014713078969316151,1.1625009757415086,1.0922060242584917,0.011433032037970692
2025-05-02,1.12865,1.1381,1.12739,1.12952,56.53973758136695,0.01126822613428935,0.014024108402310791,1.1610563878869438,1.0970296121130558,0.011381386892401356
2025-05-05,1.1299,1.13648,1.12968,1.13143,57.635098006588194,0.010388513397993737,0.013296989401447381,1.157930731224815,1.1041862687751849,0.011065573542944105
2025-05-06,1.13157,1.13811,1.12796,1.13715,60.819867109924324,0.010037188451916146,0.012645029211541134,1.1546175222258295,1.1116494777741706,0.011000175432733805
