,open,high,low,close
2025-02-27,1.04834,1.04924,1.03965,1.03973
2025-02-28,1.03966,1.04200,1.03596,1.03747
2025-03-03,1.04027,1.05036,1.03883,1.04857
2025-03-04,1.04849,1.06275,1.04708,1.06253
2025-03-05,1.06249,1.07968,1.06017,1.07875
2025-03-06,1.07864,1.08537,1.07655,1.07818
2025-03-07,1.07820,1.08888,1.07768,1.08300
2025-03-10,1.08392,1.08747,1.08048,1.08340
2025-03-11,1.08345,1.09472,1.08305,1.09110
2025-03-12,1.09111,1.09314,1.08754,1.08857
2025-03-13,1.08856,1.08972,1.08222,1.08510
2025-03-14,1.08515,1.09127,1.08304,1.08765
2025-03-17,1.08800,1.09297,1.08680,1.09212
2025-03-18,1.09214,1.09547,1.08921,1.09442
2025-03-19,1.09436,1.09460,1.08603,1.09033
2025-03-20,1.09045,1.09173,1.08143,1.08539
2025-03-21,1.08535,1.08613,1.07962,1.08121
2025-03-24,1.08168,1.08582,1.07813,1.07995
2025-03-25,1.07991,1.08301,1.07765,1.07908
2025-03-26,1.07921,1.08030,1.07342,1.07362
2025-03-27,1.07365,1.08212,1.07327,1.07974
2025-03-28,1.07971,1.08448,1.07644,1.08237
2025-03-31,1.08144,1.08494,1.07837,1.08184
2025-04-01,1.08181,1.08301,1.07779,1.07929
2025-04-02,1.07929,1.09243,1.07800,1.08264
2025-04-03,1.08262,1.11466,1.08046,1.10505
2025-04-04,1.10509,1.11076,1.09242,1.09573
2025-04-07,1.09148,1.10500,1.09007,1.09112
2025-04-08,1.09112,1.09918,1.08881,1.09565
2025-04-09,1.09564,1.10952,1.09130,1.09503
2025-04-10,1.09497,1.12414,1.09426,1.11888
2025-04-11,1.11918,1.14736,1.11918,1.13586
2025-04-14,1.13177,1.14246,1.12956,1.13522
2025-04-15,1.13531,1.13789,1.12638,1.12812
2025-04-16,1.12806,1.14127,1.12805,1.13970
2025-04-17,1.13965,1.14091,1.13349,1.13668
2025-04-18,1.13670,1.13980,1.13576,1.13913
2025-04-21,1.14072,1.15733,1.13900,1.15085
2025-04-22,1.15085,1.15473,1.13613,1.13623
2025-04-23,1.13651,1.14400,1.13072,1.13236
2025-04-24,1.13223,1.13980,1.13194,1.13857
2025-04-25,1.13849,1.13912,1.13155,1.13640
2025-04-28,1.13601,1.14250,1.13290,1.14198
2025-04-29,1.14202,1.14220,1.13698,1.13846
2025-04-30,1.13861,1.13994,1.13168,1.13253
2025-05-01,1.13253,1.13411,1.12655,1.12857
2025-05-02,1.12865,1.13810,1.12739,1.12952
2025-05-05,1.12990,1.13648,1.12968,1.13143
2025-05-06,1.13157,1.13811,1.12796,1.13715
2025-05-07,1.13721,1.13782,1.12914,1.13106
2025-05-08,1.13120,1.13362,1.12116,1.12261
2025-05-09,1.12268,1.12929,1.11964,1.12460
2025-05-12,1.12136,1.12428,1.10651,1.10880
2025-05-13,1.10878,1.11947,1.10868,1.11856
2025-05-14,1.11855,1.12658,1.11643,1.11749
2025-05-15,1.11763,1.12280,1.11700,1.11872
2025-05-16,1.11883,1.12196,1.11307,1.11640
2025-05-19,1.11737,1.12881,1.11711,1.12431
2025-05-20,1.12433,1.12858,1.12177,1.12822
2025-05-21,1.12823,1.13628,1.12787,1.13281
2025-05-22,1.13282,1.13450,1.12555,1.12791
2025-05-23,1.12803,1.13757,1.12785,1.13606
2025-05-26,1.13667,1.14187,1.13617,1.13848
2025-05-27,1.13855,1.14071,1.13230,1.13304
2025-05-28,1.13309,1.13456,1.12834,1.12925
2025-05-29,1.12940,1.13845,1.12098,1.13690
2025-05-30,1.13672,1.13900,1.13121,1.13450
2025-06-02,1.13494,1.14498,1.13454,1.14377
2025-06-03,1.14398,1.14546,1.13638,1.13750
2025-06-04,1.13749,1.14344,1.13567,1.14157
2025-06-05,1.14157,1.14950,1.14043,1.14416
2025-06-06,1.14430,1.14570,1.13690,1.13940
2025-06-09,1.13910,1.14390,1.13850,1.14200
2025-06-10,1.14220,1.14470,1.13720,1.14230
2025-06-11,1.14260,1.14990,1.14040,1.14870
2025-06-12,1.14910,1.16310,1.14840,1.15830
2025-06-13,1.15810,1.16140,1.14880,1.15520
2025-06-16,1.15350,1.16140,1.15220,1.15610
2025-06-17,1.15660,1.15770,1.14740,1.14790
2025-06-18,1.14790,1.15300,1.14600,1.14790
2025-06-19,1.14830,1.14990,1.14450,1.14940
2025-06-20,1.14940,1.15430,1.14890,1.15220
2025-06-23,1.14790,1.15810,1.14510,1.15760
2025-06-24,1.15760,1.16410,1.15730,1.16080
2025-06-25,1.16080,1.16650,1.15890,1.16590
2025-06-26,1.16580,1.17440,1.16530,1.16990
2025-06-27,1.16950,1.17540,1.16790,1.17190
2025-06-30,1.17110,1.17880,1.17020,1.17860
2025-07-01,1.17860,1.18290,1.17590,1.18050
2025-07-02,1.18020,1.18090,1.17460,1.17980
2025-07-03,1.17980,1.18090,1.17170,1.17560
2025-07-04,1.17560,1.17870,1.17520,1.17780
2025-07-07,1.17700,1.17900,1.16860,1.17070
2025-07-08,1.17090,1.17650,1.16820,1.17240
2025-07-09,1.17240,1.17290,1.16890,1.17190
2025-07-10,1.17200,1.17490,1.16610,1.17000
2025-07-11,1.17000,1.17130,1.16630,1.16890
2025-07-14,1.16730,1.16970,1.16490,1.16630
2025-07-15,1.16660,1.16920,1.15900,1.15990
2025-07-16,1.15990,1.17210,1.15610,1.16340
