,open,high,low,close
2025-02-27,1.26729,1.26888,1.25977,1.25985
2025-02-28,1.26001,1.26220,1.25589,1.25744
2025-03-03,1.25800,1.27243,1.25768,1.26993
2025-03-04,1.26985,1.27994,1.26783,1.27931
2025-03-05,1.27927,1.29006,1.27671,1.28942
2025-03-06,1.28930,1.29240,1.28655,1.28797
2025-03-07,1.28784,1.29444,1.28730,1.29194
2025-03-10,1.29139,1.29464,1.28612,1.28772
2025-03-11,1.28774,1.29659,1.28718,1.29429
2025-03-12,1.29428,1.29892,1.29132,1.29604
2025-03-13,1.29617,1.29733,1.29205,1.29488
2025-03-14,1.29490,1.29587,1.29106,1.29320
2025-03-17,1.29294,1.29986,1.29247,1.29864
2025-03-18,1.29869,1.30096,1.29512,1.30014
2025-03-19,1.30008,1.30110,1.29548,1.30030
2025-03-20,1.30029,1.30145,1.29356,1.29684
2025-03-21,1.29684,1.29703,1.28873,1.29110
2025-03-24,1.29025,1.29740,1.28950,1.29208
2025-03-25,1.29203,1.29667,1.29017,1.29450
2025-03-26,1.29450,1.29490,1.28711,1.28744
2025-03-27,1.28744,1.29920,1.28704,1.29512
2025-03-28,1.29500,1.29681,1.29220,1.29380
2025-03-31,1.29285,1.29726,1.28860,1.29156
2025-04-01,1.29150,1.29407,1.28790,1.29209
2025-04-02,1.29216,1.30249,1.29001,1.29967
2025-04-03,1.29967,1.32074,1.29722,1.30990
2025-04-04,1.31012,1.31135,1.28527,1.28915
2025-04-07,1.28390,1.29338,1.27079,1.27195
2025-04-08,1.27233,1.28146,1.27200,1.27629
2025-04-09,1.27629,1.28639,1.27429,1.28176
2025-04-10,1.28170,1.29958,1.28091,1.29657
2025-04-11,1.29665,1.31449,1.29641,1.30850
2025-04-14,1.30913,1.32010,1.30615,1.31824
2025-04-15,1.31823,1.32519,1.31637,1.32222
2025-04-16,1.32222,1.32921,1.32117,1.32415
2025-04-17,1.32415,1.32731,1.32021,1.32629
2025-04-18,1.32631,1.32985,1.32536,1.32940
2025-04-21,1.32841,1.34218,1.32765,1.33762
2025-04-22,1.33758,1.34236,1.32880,1.32899
2025-04-23,1.32911,1.33390,1.32324,1.32606
2025-04-24,1.32539,1.33490,1.32505,1.33341
2025-04-25,1.33316,1.33396,1.32735,1.33140
2025-04-28,1.33045,1.34442,1.32797,1.34344
2025-04-29,1.34343,1.34436,1.33800,1.34043
2025-04-30,1.34049,1.34145,1.33087,1.33235
2025-05-01,1.33238,1.33453,1.32601,1.32710
2025-05-02,1.32713,1.33306,1.32604,1.32641
2025-05-05,1.32648,1.33364,1.32593,1.32885
2025-05-06,1.32893,1.34025,1.32599,1.33712
2025-05-07,1.33733,1.33772,1.32797,1.32930
2025-05-08,1.32939,1.33562,1.32361,1.32471
2025-05-09,1.32483,1.33225,1.32117,1.32976
2025-05-12,1.32695,1.32991,1.31394,1.31697
2025-05-13,1.31692,1.33159,1.31665,1.33047
2025-05-14,1.33046,1.33602,1.32530,1.32578
2025-05-15,1.32578,1.33194,1.32570,1.32998
2025-05-16,1.32998,1.33325,1.32500,1.32773
2025-05-19,1.32752,1.34036,1.32730,1.33614
2025-05-20,1.33599,1.33946,1.33345,1.33849
2025-05-21,1.33847,1.34687,1.33835,1.34158
2025-05-22,1.34157,1.34408,1.33905,1.34176
2025-05-23,1.34188,1.35422,1.34170,1.35344
2025-05-26,1.35260,1.35932,1.35223,1.35615
2025-05-27,1.35617,1.35867,1.34998,1.35095
2025-05-28,1.35094,1.35220,1.34496,1.34660
2025-05-29,1.34670,1.35072,1.34148,1.34902
2025-05-30,1.34876,1.35106,1.34476,1.34513
2025-06-02,1.34537,1.35595,1.34500,1.35391
2025-06-03,1.35421,1.35591,1.34914,1.35144
2025-06-04,1.35128,1.35799,1.35008,1.35456
2025-06-05,1.35475,1.36162,1.35402,1.35748
2025-06-06,1.35760,1.35840,1.35040,1.35210
2025-06-09,1.35220,1.35810,1.35160,1.35470
2025-06-10,1.35550,1.35640,1.34530,1.34940
2025-06-11,1.34940,1.35670,1.34610,1.35440
2025-06-12,1.35520,1.36230,1.35190,1.36090
2025-06-13,1.36090,1.36320,1.35130,1.35640
2025-06-16,1.35540,1.36220,1.35270,1.35740
2025-06-17,1.35760,1.35840,1.34120,1.34240
2025-06-18,1.34300,1.34760,1.33970,1.34180
2025-06-19,1.34260,1.34700,1.33800,1.34660
2025-06-20,1.34550,1.35110,1.34380,1.34490
2025-06-23,1.34140,1.35310,1.33670,1.35220
2025-06-24,1.35070,1.36480,1.35050,1.36140
2025-06-25,1.36140,1.36710,1.35880,1.36630
2025-06-26,1.36620,1.37700,1.36500,1.37270
2025-06-27,1.37310,1.37520,1.36790,1.37140
2025-06-30,1.36860,1.37400,1.36710,1.37330
2025-07-01,1.37330,1.37880,1.37010,1.37450
2025-07-02,1.37420,1.37520,1.35600,1.36360
2025-07-03,1.36360,1.36750,1.35830,1.36520
2025-07-04,1.36560,1.36810,1.36310,1.36520
2025-07-07,1.36250,1.36570,1.35720,1.35990
2025-07-08,1.35990,1.36460,1.35230,1.35850
2025-07-09,1.35850,1.36190,1.35610,1.35860
2025-07-10,1.35860,1.36190,1.35300,1.35730
2025-07-11,1.35670,1.35850,1.34790,1.34990
2025-07-14,1.34850,1.35040,1.34210,1.34270
2025-07-15,1.34270,1.34670,1.33760,1.33790
2025-07-16,1.33790,1.34850,1.33610,1.34210
